600.0       !temperature (K) uncertain
10000       !PKA energy (eV)
15          !Average number of displaced atoms per cascade (used for dpa calculation)
9           !number of cascades

16      !number of defects
10      !number of displaced atoms
-2.31380065	-19.8665997	-6.9929978 I1
0	0	1	0		
10.7887003	-0.564098	-0.1055009 I1
0	0	4	0
7.304450188	0.9157747	3.645626338 I4
0	0	1	0		
0.6987001	-2.59360085	56.23899675 I1
0	0	1	0		
16.5427057	-0.99060025	54.81950215 I1
0	0	1	0		
5.0527002	21.8948978	-8.4100015 I1
0	0	1	0		
13.433201	24.6263966	34.8244994 I1
0	2	0	0		
-15.14580135	-21.1506001	-61.4950006 V2
0	1	0	0
-5.1387976	-8.4535976	-35.777498 V1
0	1	0	0
-5.1298026	-2.6686016	-32.9535005 V1
0	1	0	0
-0.9218024	-4.0316006	-22.7715012 V1
0	1	0	0
9.1611978	0.2724003	-1.5835054 V1
0	1	0	0
4.9582025	-9.7076031	11.5555022 V1
0	1	0	0
10.6882059	7.4873966	17.3364928 V1
0	1	0	0
-0.8747977	-9.8555981	20.1565002 V1
0	1	0	0
0.4001962	-5.6396023	21.8084929 V1
0	1	0	0
7.7072031	4.5373996	23.1855072 V1
0	1	0	0
9.2281992	8.9674076	24.3515074 V1
0	1	0	0
16.3922006	10.1994022	22.9774993 V1
0	1	0	0
7.8192026	-9.7745968	31.8544982 V1
0	1	0	0
14.9792062	14.5424046	15.8654998 V1


