122.286

14

139
102
21.4441246075	3.4118730772	3.1760169373	V8
0	4	0	0
17.2106998500	-3.8680642853	-7.2690455115	V4
0	4	0	0
18.4371994000	0.0489111197	-3.0356455490	V4
0	3	0	0
20.4945668567	5.8516933030	2.7672378560	V3
0	3	0	0
20.9694000300	3.0557943597	4.0860051460	V3
0	3	0	0
17.6458999700	-3.4328388603	-2.7190958640	V3
0	3	0	0
17.9623998033	1.3149603097	-1.4529947840	V3
0	3	0	0
21.1275995900	4.4801595897	3.6113042260	V3
0	2	0	0
17.8042007400	-2.7997895953	-1.6112955740	V2
0	2	0	0
18.1207000700	-10.5544992203	-3.3521456390	V2
0	2	0	0
18.1207000700	-4.6988893253	-1.6112955740	V2
0	2	0	0
18.4371994000	-2.9580392603	-2.0860453290	V2
0	2	0	0
20.5736999550	5.5088117897	1.6330052710	V2
0	2	0	0
19.2285003700	2.7393110547	3.9278035460	V2
0	2	0	0
20.9693496700	4.4801595897	2.0287053460	V2
0	2	0	0
21.4440994300	3.3723104697	3.9278035460	V2
0	1	0	0
19.7033004800	-5.1736398503	-0.9782953840	V1
0	1	0	0
20.0197998100	3.0557607897	3.4530064860	V1
0	1	0	0
20.0197998100	4.6383611897	2.5034047460	V1
0	1	0	0
18.4371994000	-1.6919397103	-1.9277949040	V1
0	1	0	0
20.6527999900	1.7897604197	8.2008061760	V1
0	1	0	0
21.2858993600	-6.4397401603	-0.6616953440	V1
0	1	0	0
21.6024017300	-6.1232393003	-1.2947947140	V1
0	1	0	0
21.9188995400	-5.4902383603	-0.9782953840	V1
0	1	0	0
22.5518997200	-5.4902383603	-0.0286951740	V1
0	1	0	0
23.1850006200	4.6383611897	5.0356053760	V1
0	1	0	0
26.6666992200	2.7392614597	0.9208043460	V1
0	1	0	0
34.5796997100	19.8312597497	-14.5885653140	V1
0	1	0	0
16.0632995600	-4.0658395503	-9.3660051940	V1
0	1	0	0
16.3798004200	-3.7493387003	-8.7329653440	V1
0	1	0	0
16.6964004600	-4.3823388803	-8.4164454140	V1
0	1	0	0
16.6964004600	-1.8502389703	-3.3521952240	V1
0	1	0	0
17.6458999700	-8.8136491503	-3.3521952240	V1
0	1	0	0
17.6458999700	-3.7493387003	-1.7695948240	V1
0	1	0	0
17.6458999700	-3.1163385103	-2.0860956840	V1
0	1	0	0
17.6458999700	-1.8502389703	-4.3016947440	V1
0	1	0	0
17.6458999700	-1.5337396403	-3.3521952240	V1
0	1	0	0
17.4876999000	-9.6049394403	-3.8268946340	V1
0	1	0	0
18.2789001500	-3.7493387003	-0.5034952740	V1
0	1	0	0
18.2789001500	-2.7998391803	-1.4529947840	V1
0	1	0	0
18.2789001500	0.9984609797	-3.3521952240	V1
0	1	0	0
18.2789001500	2.2644613497	-1.1364954640	V1
0	1	0	0
18.5955001800	-6.5980394003	-2.4025950140	V1
0	1	0	0
18.9119995100	-11.3457990403	-2.7190958640	V1
0	1	0	0
18.9119995100	-10.0797189503	-3.9851954140	V1
0	1	0	0
18.9119995100	-2.7998391803	-2.0860956840	V1
0	1	0	0
18.9119995100	-2.7998391803	-0.8199946040	V1
0	1	0	0
18.9119995100	1.6314611697	-2.0860956840	V1
0	1	0	0
18.9119995100	3.8470602297	4.8773061160	V1
0	1	0	0
19.2285003700	-10.7127595603	-3.9851954140	V1
0	1	0	0
17.4876999000	-6.7562394903	-3.1938959740	V1
0	1	0	0
19.5449997000	4.4801595897	1.7121053060	V1
0	1	0	0
19.8615005500	-4.6989389203	-2.4025950140	V1
0	1	0	0
19.8615005500	4.4801595897	3.9278035460	V1
0	1	0	0
20.1781005900	4.4801595897	4.8773061160	V1
0	1	0	0
